termo_busca,produto,tipo,gateway,nicho,temperatura,mencoes,faixa_preco,primeira_vez_visto,rodadas_visto,descricao,evidencia_url
"fábrica de low ticket","Fábrica de Low Ticket","angulo","Cakto","Educação / Marketing digital e low ticket","fria","1","R$ 254;98","2026-09-01","4","Adquiri o curso com base na promessa apresentada pelo produtor de que haveria suporte individual. Porém; após entrar no grupo de WhatsApp; me deparei com uma discussão entre outros alunos que estavam reclamando justamente sobre essa questão. Na conversa; um dos administradores informou que a estratégia havia sido alterada e que o suporte agora seria realizado de forma coletiva pelo grupo. Eu não fui comunicado previamente sobre essa mudança e essa não foi a condição pela qual adquiri o curso. Co","https://www.reclameaqui.com.br/cakto-pay/reembolso-solicitado-por-propaganda-enganosa-sobre-suporte-individual-no-curso-fabrica-de-low-ticket_BQx79JwlEi7-NBzU/"
"on line rj comercio varejista de acessorios ltda","On Line Rj Comercio Varejista De Acessorios Ltda","angulo","Cakto","Espionagem e rastreamento","fria","1","R$ 297;00","2026-09-01","1","","https://www.reclameaqui.com.br/cakto-pay/solicitacao-de-reembolso-de-assinatura-tokfy-via-pix-devido-a-plano-incorreto-e-falha-no-login-para-cancelamento_lwKWxoGQVq5QbJLn/"
"fica saindo e entrando sozinho","fica saindo e entrando sozinho","angulo","PerfectPay","Ferramentas de IA / Produtividade","fria","1","","2026-09-01","3","","https://www.reclameaqui.com.br/perfectpay/nao-gostei-do-app-fica-saindo-e-entrando-sozinho_UkdzKQ86egq0egAP/"
"método atlas","Método Atlas","marca","PerfectPay","Educação e consultoria","fria","1","","2026-09-01","4","Fiz uma compra desse tal método atlas; não cumpriu com prometido ;tento falar com suporte wattsap; e-mail e simplesmente desativaram as contas ;já procurei uma advogada e delegacia pra denunciar. Não caiam é [Editado pelo Reclame Aqui] RA Ads","https://www.reclameaqui.com.br/perfectpay/compra-do-metodo-atlas-nao-cumpre-o-prometido-e-suporte-desativado_wzci0DCEtGCFBRc6/"
"interactive live","Interactive Live","angulo","PerfectPay","Espionagem e rastreamento","fria","1","","2026-09-01","4","Comprei o produto "Interactive Live" através da plataforma Perfect Pay; que atuou como processadora de pagamento da venda. O produto recebido não correspondeu ao que foi anunciado/esperado; e eu solicitei o cancelamento/reembolso ainda dentro do prazo de garantia de 7 dias previsto no site/checkout; que também é assegurado pelo direito de arrependimento do art. 49 do Código de Defesa do Consumidor para compras feitas fora do estabelecimento comercial (como é o caso de compras online). Esse prazo","https://www.reclameaqui.com.br/perfectpay/reembolso-negado-e-prazo-expirado-devido-a-burocracia-da-perfect-pay_wFj48yi7DgllZO-Z/"
"low ticket do zero 2.0 no dia 30","Low Ticket do Zero 2.0 no dia 30","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-01","3","Solicitação de cancelamento e reembolso negada por falta de saldo na conta do produtor. Resolvido CAKTO PAY Rio de Janeiro - RJ 31/08/2026 às 17:20","https://www.reclameaqui.com.br/cakto-pay/solicitacao-de-cancelamento-e-reembolso-negada-por-falta-de-saldo-na-conta-do-produtor_g_uRVUXcpBO7YtT5/"
"cloakeuai","Cloakeuai","angulo","Cakto","Ferramentas de IA / Cloaking","fria","1","","2026-09-01","4","Fiz uma compra de um aplicativo; porém o mesmo não funciona; entrei em contato com a cakto por email; entrei em contato pelo suporte da plataforma e não me respondem; foi uma compra de +- 840 reais Quero o reembolso da minha compra: Dados da compra: Poxa; vou te ajudar a resolver isso! Me informe: Qual e-mail você usou na compra?","https://www.reclameaqui.com.br/cakto-pay/reclamacao-sobre-aplicativo-nao-funcional-e-falta-de-resposta-do-suporte-para-reembolso_vE-W5K4jwJY0jtXa/"
"códigos lucrativos","Códigos Lucrativos","angulo","PerfectPay","Ganhar dinheiro online / Ferramentas de afiliado","fria","1","","2026-09-01","3","Comprei dois aplicativos codigos lucrativos e opinipix pela perfect pay;mas eles são [Editado pelo Reclame Aqui] . [Editado pelo Reclame Aqui]. Quero meu dinheiro de volta. Resposta da Empresa 31/01/2025 às 17:31","https://www.reclameaqui.com.br/perfectpay/compra-de-aplicativos-editado-pelo-reclame-aqui-e-editado-pelo-reclame-aqui-solicitacao-de-reembolso_xx2YJjct0gsb0fGa/"
"aristocracy negócios digitais","Aristocracy Negócios Digitais","angulo","PerfectPay","Produtos digitais variados / Assinatura vitalícia","fria","1","","2026-09-01","3","","https://www.reclameaqui.com.br/perfectpay/acesso-negado-a-produtos-com-assinatura-vitalicia-e-namorada-customizada-nao-funciona_VUCzPEy-WEHTKJWB/"
"zap radar","ZAP Radar","angulo","PerfectPay","Ferramentas de espionagem / WhatsApp","fria","1","","2026-09-01","4","Fiz uma compra no valor de 137;00 site ZAP radar e fui [Editado pelo Reclame Aqui] porque não abre um relatório. Peço o estorno do valor pago. RA Ads","https://www.reclameaqui.com.br/perfectpay/solicitacao-de-estorno-de-compra-no-site-zap-radar-por-nao-recebimento-de-relatorio_lZ9TTmWZxIG43bv7/"
"apostila de psicologia 2025","Apostila de Psicologia 2025","angulo","Cakto","Educação / Concursos e certificações","fria","1","","2026-09-01","3","Fiz uma compra on-line de uma Apostila de Psicologia 2025 e um combo de Aprovação Psico. Já entrei em contato por e-mail; por chat mais não consigo retorno. Já enviei os comprovantes de pagamentos de cada compra; mais não obtenho resposta. Esse material é para concurso; porém a Apostila não abre. Quando clico dá que já foi concluída sem ao menos eu ler. Comprei o material porque preciso; e hoje já entrei e não abre. Gostaria que resolvessem isso. Edna Carvalho","https://www.reclameaqui.com.br/cakto-pay/apostila-de-psicologia-2025-nao-abre-e-cliente-nao-obtem-retorno-sobre-compra-online_30j5btxdpP7LLsjJ/"
"comunidade knights club","COMUNIDADE KNIGHTS CLUB","angulo","Cakto","Comunidades / Mentoria de negócios","fria","1","R$ 67;99;","2026-09-01","3","No dia 21/08/2026; realizei a compra da COMUNIDADE KNIGHTS CLUB; no valor de R$ 67;99; através da plataforma de pagamentos Cakto; com pagamento realizado via Pix. Após a compra; descobri que a ferramenta de inteligência artificial adquirida é destinada ao uso em computador. Essa informação não estava suficientemente clara para mim no momento da compra. Como não possuo computador; entrei em contato com o suporte para saber se seria possível utilizar a ferramenta pelo celular e fui informado de qu","https://www.reclameaqui.com.br/cakto-pay/reembolso-de-compra-via-pix-nao-realizado-apos-solicitacao-dentro-do-prazo-legal_w1bmesmQpVhI5h0M/"
